split,K,tau,theta
calibration,0.9975879795146412,10.22536077654582,2.0319128705612046
calibration,0.9776350915401989,9.746104788233598,1.991662688480489
calibration,0.9965019973839108,10.265745332210107,1.916060590085019
calibration,1.0031923337401742,10.303070861599238,2.055181962496967
calibration,0.9965226025152674,10.260185911269511,1.8697176079719193
calibration,1.0009051271869478,10.573640771437061,1.8863497479527995
calibration,1.0098138830123453,10.219406881266677,1.9399157195218522
calibration,0.9746424587464324,9.364462980269222,2.209657978714
calibration,0.9891758976725713,10.216215387606484,1.761741561318739
calibration,1.0089764226002578,10.833430511597097,1.7410361585298686
calibration,0.9967258364061615,10.24745068514838,1.9850539087964916
calibration,0.980235370094453,9.630738967644591,1.967815200186874
calibration,0.9828884526895114,9.695455334137154,2.1497421555219067
calibration,0.9760257210977399,9.84613262958287,2.045498825369521
calibration,0.9887809452782385,10.058153656465382,2.00000002130637
calibration,1.0075906123287415,10.581194770265968,1.8944639077525096
calibration,0.9723991482829846,9.317390171971777,2.1479207034254912
calibration,0.9942778758283622,9.989111003876943,2.0362416105595713
calibration,0.992502876301051,9.808023189185912,2.1054197534149623
calibration,0.9758884505385098,9.647026435437589,2.1157763382941464
calibration,1.0045942344235026,10.423835633415804,1.942514745067843
calibration,0.9883062132754942,10.015135599621717,2.0692365934289487
calibration,0.9739084400385928,9.488642767516057,2.0742891312707292
calibration,1.0035002653065366,10.176493134599802,2.0775436601835464
calibration,0.9934615387277672,10.107258907972659,2.0264391775162216
calibration,0.997150631178037,10.0306172526424,2.0467354710830095
calibration,0.9940669129901584,10.22495679844878,2.0000003595082116
calibration,0.9908624289070626,10.085205794979272,1.9943823870055744
calibration,1.012823214338311,10.45887987455473,1.9921164503862865
calibration,0.9896548817965192,9.876378823469228,2.022660086818874
calibration,0.9850930140861996,9.657033428713536,2.30101500460919
calibration,1.006844698103668,10.288974945230938,2.0250690986328626
calibration,0.9819784225288614,9.424694226931164,2.153746895430973
calibration,0.9977574319520743,10.184821114761581,2.053947563957544
calibration,1.0092044493215167,10.6955213602606,1.7741542818255702
calibration,1.0047975331420416,10.278682474211026,2.000000120945919
calibration,1.0137279488437765,10.528559352114495,1.9179245577826636
calibration,0.9865839036204266,9.84508389718938,2.089018221960492
calibration,1.011354429526627,10.765910436954716,1.833582680243571
calibration,0.9905674820770294,9.789640324080244,2.1631028479460266
calibration,1.0035632219778334,10.131964254395879,2.00000001570508
calibration,1.0106606794845507,10.482526256062135,1.8981072666260148
calibration,1.0198276902624617,10.888734906866956,1.796937447510068
calibration,0.979965361105264,9.751379862293138,2.087013285740464
calibration,1.0113017020884891,10.4103112203088,1.94726404730863
calibration,1.001964989472869,10.19968942737455,2.0311883191398357
calibration,1.0000780696785079,10.06705585578712,2.0223349331807863
calibration,0.985667339499534,10.033077531356156,1.8793379747911767
